file	taxid	url
GCF_000257545.3_ASM25754v3_genomic.fna	1147786	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/545/GCF_000257545.3_ASM25754v3/GCF_000257545.3_ASM25754v3_genomic.fna.gz
GCF_000164695.2_ASM16469v2_genomic.fna	762948	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/695/GCF_000164695.2_ASM16469v2/GCF_000164695.2_ASM16469v2_genomic.fna.gz
GCF_000785495.1_ASM78549v1_genomic.fna	2045	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/785/495/GCF_000785495.1_ASM78549v1/GCF_000785495.1_ASM78549v1_genomic.fna.gz
GCF_005952805.1_ASM595280v1_genomic.fna	392593	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/952/805/GCF_005952805.1_ASM595280v1/GCF_005952805.1_ASM595280v1_genomic.fna.gz
GCF_001509405.1_ASM150940v1_genomic.fna	2041	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/509/405/GCF_001509405.1_ASM150940v1/GCF_001509405.1_ASM150940v1_genomic.fna.gz
GCF_002005405.1_ASM200540v1_genomic.fna	708126	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/405/GCF_002005405.1_ASM200540v1/GCF_002005405.1_ASM200540v1_genomic.fna.gz
GCF_001652565.1_ASM165256v1_genomic.fna	879274	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/652/565/GCF_001652565.1_ASM165256v1/GCF_001652565.1_ASM165256v1_genomic.fna.gz
GCF_000007485.1_ASM748v1_genomic.fna	203267	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/485/GCF_000007485.1_ASM748v1/GCF_000007485.1_ASM748v1_genomic.fna.gz
GCF_000196075.1_ASM19607v1_genomic.fna	218496	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/075/GCF_000196075.1_ASM19607v1/GCF_000196075.1_ASM19607v1_genomic.fna.gz
GCF_002688565.1_ASM268856v1_genomic.fna	1808001	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/688/565/GCF_002688565.1_ASM268856v1/GCF_002688565.1_ASM268856v1_genomic.fna.gz
GCF_000024325.1_ASM2432v1_genomic.fna	485915	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/325/GCF_000024325.1_ASM2432v1/GCF_000024325.1_ASM2432v1_genomic.fna.gz
GCF_001562215.1_ASM156221v1_genomic.fna	1793721	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/562/215/GCF_001562215.1_ASM156221v1/GCF_001562215.1_ASM156221v1_genomic.fna.gz
GCF_000184685.1_ASM18468v1_genomic.fna	710696	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/685/GCF_000184685.1_ASM18468v1/GCF_000184685.1_ASM18468v1_genomic.fna.gz
GCF_003408515.1_ASM340851v1_genomic.fna	2201999	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/408/515/GCF_003408515.1_ASM340851v1/GCF_003408515.1_ASM340851v1_genomic.fna.gz
GCF_900683745.1_Paraprevotella_xylaniphila_82A6_genomic.fna	762982	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/683/745/GCF_900683745.1_Paraprevotella_xylaniphila_82A6/GCF_900683745.1_Paraprevotella_xylaniphila_82A6_genomic.fna.gz
GCF_000024605.1_ASM2460v1_genomic.fna	429009	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/605/GCF_000024605.1_ASM2460v1/GCF_000024605.1_ASM2460v1_genomic.fna.gz
GCF_003932735.1_ASM393273v1_genomic.fna	2486578	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/932/735/GCF_003932735.1_ASM393273v1/GCF_003932735.1_ASM393273v1_genomic.fna.gz
GCF_000355675.1_ASM35567v1_genomic.fna	1298593	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/355/675/GCF_000355675.1_ASM35567v1/GCF_000355675.1_ASM35567v1_genomic.fna.gz
GCF_000582555.1_ASM58255v1_genomic.fna	1208320	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/582/555/GCF_000582555.1_ASM58255v1/GCF_000582555.1_ASM58255v1_genomic.fna.gz
GCF_900168365.1_JF4335_genomic.fna	1351755	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/168/365/GCF_900168365.1_JF4335/GCF_900168365.1_JF4335_genomic.fna.gz
GCF_002393265.1_ASM239326v1_genomic.fna	2060307	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/393/265/GCF_002393265.1_ASM239326v1/GCF_002393265.1_ASM239326v1_genomic.fna.gz
GCF_000013205.1_ASM1320v1_genomic.fna	321327	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/205/GCF_000013205.1_ASM1320v1/GCF_000013205.1_ASM1320v1_genomic.fna.gz
GCF_003610015.1_ASM361001v1_genomic.fna	33074	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/610/015/GCF_003610015.1_ASM361001v1/GCF_003610015.1_ASM361001v1_genomic.fna.gz
GCF_000022565.1_ASM2256v1_genomic.fna	240015	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/565/GCF_000022565.1_ASM2256v1/GCF_000022565.1_ASM2256v1_genomic.fna.gz
