patient	sample	Is_Tumor	Run	lane	ProcessingMethod	10x chemistry (verType)
C171	C171_TA_1_1_1_c1_v3	Yes	SRR15653104	C171_TA_1_1_1_c1_v3_H72HCCCX2 L004	CD45pMACS	v3
C171	C171_TB_1_1_0_c1_v3	Yes	SRR15653105	C171_TB_1_1_0_c1_v3_H5M2NCCX2 L004	unsorted	v3
C171	C171_TB_1_1_0_c1_v3	Yes	SRR15653106	C171_TB_1_1_0_c1_v3_H72HCCCX2 L007	unsorted	v3
C171	C171_TB_1_1_0_c1_v3	Yes	SRR15653107	C171_TB_1_1_0_c1_v3_H72HCCCX2 L008	unsorted	v3
C171	C171_TB_1_1_1_c1_v3	Yes	SRR15653108	C171_TB_1_1_1_c1_v3_H5M2NCCX2 L004	CD45pMACS	v3
C171	C171_TB_1_1_1_c1_v3	Yes	SRR15653109	C171_TB_1_1_1_c1_v3_H72HCCCX2 L005	CD45pMACS	v3
C172	C172_T_0_0_0_c1_v3	Yes	SRR15653110	C172_T_0_0_0_c1_v3_H72K5CCX2 L007	unsorted	v3
C173	C173_T_0_0_0_c1_v3	Yes	SRR15653111	C173_T_0_0_0_c1_v3_H5M2NCCX2 L001	unsorted	v3
C103	C103_T_1_1_0_c1_v2	Yes	SRR15653112	C103_T_1_1_0_c1_v2_H5MKNBGX3 L001	unsorted	v2
C103	C103_T_1_1_0_c1_v2	Yes	SRR15653113	C103_T_1_1_0_c1_v2_H5MKNBGX3 L002	unsorted	v2
C103	C103_T_1_1_0_c1_v2	Yes	SRR15653114	C103_T_1_1_0_c1_v2_H5MKNBGX3 L003	unsorted	v2
C103	C103_T_1_1_0_c1_v2	Yes	SRR15653115	C103_T_1_1_0_c1_v2_H5MKNBGX3 L004	unsorted	v2
C103	C103_T_1_1_0_c1_v2	Yes	SRR15653116	C103_T_1_1_0_c1_v2_HCVF7BGX2 L001	unsorted	v2
C103	C103_T_1_1_0_c1_v2	Yes	SRR15653117	C103_T_1_1_0_c1_v2_HCVF7BGX2 L002	unsorted	v2
C103	C103_T_1_1_0_c1_v2	Yes	SRR15653118	C103_T_1_1_0_c1_v2_HCVF7BGX2 L003	unsorted	v2
C103	C103_T_1_1_0_c1_v2	Yes	SRR15653119	C103_T_1_1_0_c1_v2_HCVF7BGX2 L004	unsorted	v2
C103	C103_T_1_1_3_c1_v2	Yes	SRR15653120	C103_T_1_1_3_c1_v2_HCVF7BGX2 L001	LiveMACS	v2
C103	C103_T_1_1_3_c1_v2	Yes	SRR15653121	C103_T_1_1_3_c1_v2_HCVF7BGX2 L002	LiveMACS	v2
C103	C103_T_1_1_3_c1_v2	Yes	SRR15653122	C103_T_1_1_3_c1_v2_HCVF7BGX2 L003	LiveMACS	v2
C103	C103_T_1_1_3_c1_v2	Yes	SRR15653123	C103_T_1_1_3_c1_v2_HCVF7BGX2 L004	LiveMACS	v2
C137	C137_T_1_1_1_c1_v2	Yes	SRR15653164	C137_T_1_1_1_c1_v2_HW7JMBGX7 L001	CD45pMACS	v2
C137	C137_T_1_1_1_c1_v2	Yes	SRR15653165	C137_T_1_1_1_c1_v2_HW7JMBGX7 L002	CD45pMACS	v2
C137	C137_T_1_1_1_c1_v2	Yes	SRR15653166	C137_T_1_1_1_c1_v2_HW7JMBGX7 L003	CD45pMACS	v2
C137	C137_T_1_1_1_c1_v2	Yes	SRR15653167	C137_T_1_1_1_c1_v2_HW7JMBGX7 L004	CD45pMACS	v2
C137	C137_T_1_1_1_c2_v2	Yes	SRR15653168	C137_T_1_1_1_c2_v2_H5TVMBGX7 L001	CD45pMACS	v2
C137	C137_T_1_1_1_c2_v2	Yes	SRR15653169	C137_T_1_1_1_c2_v2_H5TVMBGX7 L002	CD45pMACS	v2
C137	C137_T_1_1_1_c2_v2	Yes	SRR15653170	C137_T_1_1_1_c2_v2_H5TVMBGX7 L003	CD45pMACS	v2
C137	C137_T_1_1_1_c2_v2	Yes	SRR15653171	C137_T_1_1_1_c2_v2_H5TVMBGX7 L004	CD45pMACS	v2
C138	C138_N_0_0_0_c1_v2	No	SRR15653172	C138_N_0_0_0_c1_v2_H5TVMBGX7 L001	unsorted	v2
C138	C138_N_0_0_0_c1_v2	No	SRR15653173	C138_N_0_0_0_c1_v2_H5TVMBGX7 L002	unsorted	v2
C138	C138_N_0_0_0_c1_v2	No	SRR15653174	C138_N_0_0_0_c1_v2_H5TVMBGX7 L003	unsorted	v2
C138	C138_N_0_0_0_c1_v2	No	SRR15653175	C138_N_0_0_0_c1_v2_H5TVMBGX7 L004	unsorted	v2
C138	C138_N_0_0_1_c1_v2	No	SRR15653176	C138_N_0_0_1_c1_v2_HW7JMBGX7 L001	CD45pMACS	v2
C138	C138_N_0_0_1_c1_v2	No	SRR15653177	C138_N_0_0_1_c1_v2_HW7JMBGX7 L002	CD45pMACS	v2
C138	C138_N_0_0_1_c1_v2	No	SRR15653178	C138_N_0_0_1_c1_v2_HW7JMBGX7 L003	CD45pMACS	v2
C138	C138_N_0_0_1_c1_v2	No	SRR15653179	C138_N_0_0_1_c1_v2_HW7JMBGX7 L004	CD45pMACS	v2
C138	C138_T_0_0_0_c1_v2	Yes	SRR15653180	C138_T_0_0_0_c1_v2_H5TVMBGX7 L001	unsorted	v2
