sample	Instrument	seq_type	Bases	Instrument	LibraryLayout	patient
SRR5102423	NextSeq 500	Smart-seq2	13663052	NextSeq 500	PAIRED	Pt0
SRR5102424	NextSeq 500	Smart-seq2	10479944	NextSeq 500	PAIRED	Pt0
SRR5102425	NextSeq 500	Smart-seq2	27964808	NextSeq 500	PAIRED	Pt0
SRR5102426	NextSeq 500	Smart-seq2	29864884	NextSeq 500	PAIRED	Pt0
SRR5102427	NextSeq 500	Smart-seq2	38881068	NextSeq 500	PAIRED	Pt0
SRR5102428	NextSeq 500	Smart-seq2	80716440	NextSeq 500	PAIRED	Pt0
SRR5102429	NextSeq 500	Smart-seq2	30207492	NextSeq 500	PAIRED	Pt0
SRR5102430	NextSeq 500	Smart-seq2	26135108	NextSeq 500	PAIRED	Pt0
SRR5102431	NextSeq 500	Smart-seq2	24588812	NextSeq 500	PAIRED	Pt0
SRR5102432	NextSeq 500	Smart-seq2	29514980	NextSeq 500	PAIRED	Pt0
SRR5102433	NextSeq 500	Smart-seq2	15394028	NextSeq 500	PAIRED	Pt0
SRR5102434	NextSeq 500	Smart-seq2	18564140	NextSeq 500	PAIRED	Pt0
SRR5102435	NextSeq 500	Smart-seq2	12870676	NextSeq 500	PAIRED	Pt0
SRR5102436	NextSeq 500	Smart-seq2	19471276	NextSeq 500	PAIRED	Pt0
SRR5102437	NextSeq 500	Smart-seq2	7535780	NextSeq 500	PAIRED	Pt0
SRR5102438	NextSeq 500	Smart-seq2	11547060	NextSeq 500	PAIRED	Pt0
SRR5102439	NextSeq 500	Smart-seq2	38555860	NextSeq 500	PAIRED	Pt0
SRR5102440	NextSeq 500	Smart-seq2	6813172	NextSeq 500	PAIRED	Pt0
SRR5102441	NextSeq 500	Smart-seq2	20768824	NextSeq 500	PAIRED	Pt0
SRR5102442	NextSeq 500	Smart-seq2	24549064	NextSeq 500	PAIRED	Pt0
SRR5102443	NextSeq 500	Smart-seq2	56113840	NextSeq 500	PAIRED	Pt0
SRR5102444	NextSeq 500	Smart-seq2	10435560	NextSeq 500	PAIRED	Pt0
SRR5102445	NextSeq 500	Smart-seq2	18622660	NextSeq 500	PAIRED	Pt0
SRR5102446	NextSeq 500	Smart-seq2	20256888	NextSeq 500	PAIRED	Pt0
SRR5102447	NextSeq 500	Smart-seq2	9758248	NextSeq 500	PAIRED	Pt0
SRR5102448	NextSeq 500	Smart-seq2	21716848	NextSeq 500	PAIRED	Pt0
SRR5102449	NextSeq 500	Smart-seq2	33811716	NextSeq 500	PAIRED	Pt0
SRR5102450	NextSeq 500	Smart-seq2	43472590	NextSeq 500	PAIRED	Pt0
SRR5102451	NextSeq 500	Smart-seq2	16308880	NextSeq 500	PAIRED	Pt0
SRR5102452	NextSeq 500	Smart-seq2	25090640	NextSeq 500	PAIRED	Pt0
SRR5102453	NextSeq 500	Smart-seq2	23092904	NextSeq 500	PAIRED	Pt0
SRR5102454	NextSeq 500	Smart-seq2	36634964	NextSeq 500	PAIRED	Pt0
SRR5102455	NextSeq 500	Smart-seq2	17992924	NextSeq 500	PAIRED	Pt0
SRR5102456	NextSeq 500	Smart-seq2	18937300	NextSeq 500	PAIRED	Pt0
SRR5102457	NextSeq 500	Smart-seq2	22774160	NextSeq 500	PAIRED	Pt0
SRR5102458	NextSeq 500	Smart-seq2	44933404	NextSeq 500	PAIRED	Pt0
SRR5102459	NextSeq 500	Smart-seq2	20358728	NextSeq 500	PAIRED	Pt0
SRR5102460	NextSeq 500	Smart-seq2	19507756	NextSeq 500	PAIRED	Pt0
SRR5102461	NextSeq 500	Smart-seq2	28105408	NextSeq 500	PAIRED	Pt0
SRR5102462	NextSeq 500	Smart-seq2	39668300	NextSeq 500	PAIRED	Pt0
SRR5102463	NextSeq 500	Smart-seq2	34667552	NextSeq 500	PAIRED	Pt0
SRR5102464	NextSeq 500	Smart-seq2	28480620	NextSeq 500	PAIRED	Pt0
SRR5102465	NextSeq 500	Smart-seq2	27963516	NextSeq 500	PAIRED	Pt0
SRR5102466	NextSeq 500	Smart-seq2	23944864	NextSeq 500	PAIRED	Pt0
SRR5102467	NextSeq 500	Smart-seq2	23313684	NextSeq 500	PAIRED	Pt0
SRR5102468	NextSeq 500	Smart-seq2	38187264	NextSeq 500	PAIRED	Pt0
