patient	sample	cell	plate	nCount_RNA	nFeature_RNA	nCount_ERCC	nFeature_ERCC	ERCC_Conc	Condition	ExpectNumCells	Cell_Type	Cell_Type_and_Condition	percent.mt	percent.ercc
P1	S1	P2_D02_S108	P2	6583386.92	9964	3264	17	1^7	Bystander	1	THP1	THP1-bystander	6.163390135	0.049554774
P1	S1	P2_D03_S116	P2	8305362.94	9543	6772	13	1^7	Bystander	1	THP1	THP1-bystander	6.26419512	0.081471247
P1	S1	P2_D05_S132	P2	8325999.04	9162	7537	12	1^7	Bystander	1	THP1	THP1-bystander	7.626787452	0.0904418
P1	S1	P2_D06_S140	P2	10335426.9	9790	9694	17	1^7	Bystander	1	THP1	THP1-bystander	9.214162987	0.09370601
P1	S1	P2_D07_S148	P2	11196497.04	11246	3366	11	1^7	Bystander	1	HCT116	HCT116-bystander	12.76314766	0.030053939
P1	S1	P2_D08_S156	P2	23763.96	3355	9	6	1^7	Bystander	1	HCT116	HCT116-bystander	12.38350006	0.037858138
P1	S1	P2_D09_S164	P2	9415585.83	10502	5802	14	1^7	Bystander	1	HCT116	HCT116-bystander	13.68427832	0.061583284
P1	S1	P2_D10_S172	P2	7899936.68	10213	5774	16	1^7	Bystander	1	HCT116	HCT116-bystander	11.22313109	0.073035812
P1	S1	P2_D11_S180	P2	9497241.16	10364	5884	13	1^7	Bystander	1	HCT116	HCT116-bystander	12.8373476	0.061916474
P1	S1	P2_D12_S188	P2	6587790.94	8357	8529	15	1^7	Bystander	1	HCT116	HCT116-bystander	18.01886309	0.129299368
P1	S1	P2_E02_S109	P2	6425816.97	7945	8740	12	1^7	Infected	1	THP1	THP1-infected	8.00828272	0.135829087
P1	S1	P2_E03_S117	P2	7015537.94	10025	6210	17	1^7	Infected	1	THP1	THP1-infected	8.374860417	0.088439518
P1	S1	P2_E04_S125	P2	7153310.89	8854	7067	14	1^7	Infected	1	THP1	THP1-infected	8.154271483	0.098695908
P1	S1	P2_E05_S133	P2	7669125.06	8629	7710	14	1^7	Infected	1	THP1	THP1-infected	7.994454194	0.100432013
P1	S1	P2_E06_S141	P2	9101381.03	12082	3096	14	1^7	Infected	1	THP1	THP1-infected	7.504451552	0.034005248
P1	S1	P2_E07_S149	P2	9182346.93	11348	3201	14	1^7	Infected	1	HCT116	HCT116-infected	10.75655502	0.034848221
P1	S1	P2_E10_S173	P2	6411.0	1224	21553	14	1^7	Infected	1	HCT116	HCT116-infected	8.220246451	77.07409527
P1	S1	P2_E11_S181	P2	10124680.94	10516	5988	13	1^7	Infected	1	HCT116	HCT116-infected	11.46510717	0.059107647
P1	S1	P2_E12_S189	P2	10134456.83	10920	3734	15	1^7	Infected	1	HCT116	HCT116-infected	11.40521815	0.036831029
P1	S1	P2_F02_S110	P2	9673162.09	10780	3474	14	1^7	Infected	1	THP1	THP1-infected	7.494619373	0.035900906
P1	S1	P2_F03_S118	P2	6573579.08	9723	3149	12	1^7	Infected	1	THP1	THP1-infected	6.088287296	0.047880952
P1	S1	P2_F04_S126	P2	10713586.92	10979	5707	15	1^7	Infected	1	THP1	THP1-infected	6.19465614	0.053240447
P1	S1	P2_F05_S134	P2	8164632.97	9968	5859	19	1^7	Infected	1	THP1	THP1-infected	7.285604781	0.071709268
P1	S1	P2_F06_S142	P2	5405634.2	9588	4966	14	1^7	Infected	1	THP1	THP1-infected	8.011337134	0.091782793
P1	S1	P2_F07_S150	P2	6498696.99	8053	8395	15	1^7	Infected	1	HCT116	HCT116-infected	14.04920419	0.129013083
P1	S1	P2_F08_S158	P2	66674.97	5181	40	8	1^7	Infected	1	HCT116	HCT116-infected	10.92208965	0.059956558
P1	S1	P2_F09_S166	P2	8565422.05	10181	3509	11	1^7	Infected	1	HCT116	HCT116-infected	10.84444636	0.040950265
P1	S1	P2_F10_S174	P2	7665966.05	10967	2373	11	1^7	Infected	1	HCT116	HCT116-infected	10.75166136	0.030945424
P1	S1	P2_F11_S182	P2	11700948.01	13191	1530	13	1^7	Infected	1	HCT116	HCT116-infected	11.17173206	0.013074154
P1	S1	P2_G02_S111	P2	5496567.93	7822	6001	14	1^7	Infected	1	THP1	THP1-infected	8.689556212	0.109058152
P1	S1	P2_G03_S119	P2	6956280.03	9671	5707	12	1^7	Infected	1	THP1	THP1-infected	6.889039946	0.081973724
P1	S1	P2_G05_S135	P2	9235230.06	11076	3057	17	1^7	Infected	1	THP1	THP1-infected	6.411595338	0.03309055
P1	S1	P2_G06_S143	P2	8817118.96	10720	3629	13	1^7	Infected	1	THP1	THP1-infected	7.45880296	0.041141636
P1	S1	P2_G09_S167	P2	147843.01	2186	16210	12	1^7	Infected	1	HCT116	HCT116-infected	0.740941354	9.880952504
P1	S1	P2_G10_S175	P2	9453319.84	10155	2886	13	1^7	Infected	1	HCT116	HCT116-infected	12.75630477	0.03051964
