entity:sample_id	cellType	fastq1	fastq2	participant
cy105_CD45pos_S248	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S248_R1_001_977.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S248_R2_001_977.fastq.gz	Mel105
cy105_CD45pos_S251	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S251_R1_001_978.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S251_R2_001_978.fastq.gz	Mel105
cy105_CD45pos_S252	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S252_R1_001_979.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S252_R2_001_979.fastq.gz	Mel105
cy105_CD45pos_S253	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S253_R1_001_980.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S253_R2_001_980.fastq.gz	Mel105
cy105_CD45pos_S254	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S254_R1_001_981.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S254_R2_001_981.fastq.gz	Mel105
cy105_CD45pos_S258	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S258_R1_001_982.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S258_R2_001_982.fastq.gz	Mel105
cy105_CD45pos_S261	B_cell	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S261_R1_001_983.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S261_R2_001_983.fastq.gz	Mel105
cy105_CD45pos_S262	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S262_R1_001_984.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S262_R2_001_984.fastq.gz	Mel105
cy105_CD45pos_S264	B_cell	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S264_R1_001_985.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S264_R2_001_985.fastq.gz	Mel105
cy105_CD45pos_S265	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S265_R1_001_986.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S265_R2_001_986.fastq.gz	Mel105
cy105_CD45pos_S271	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S271_R1_001_987.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S271_R2_001_987.fastq.gz	Mel105
cy105_CD45pos_S272	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S272_R1_001_988.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S272_R2_001_988.fastq.gz	Mel105
cy105_CD45pos_S274	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S274_R1_001_989.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S274_R2_001_989.fastq.gz	Mel105
cy105_CD45pos_S275	B_cell	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S275_R1_001_990.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S275_R2_001_990.fastq.gz	Mel105
cy105_CD45pos_S276	B_cell	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S276_R1_001_991.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S276_R2_001_991.fastq.gz	Mel105
cy105_CD45pos_S277	B_cell	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S277_R1_001_992.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S277_R2_001_992.fastq.gz	Mel105
cy105_CD45pos_S278	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S278_R1_001_993.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S278_R2_001_993.fastq.gz	Mel105
cy105_CD45pos_S280	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S280_R1_001_994.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S280_R2_001_994.fastq.gz	Mel105
cy105_CD45pos_S281	B_cell	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S281_R1_001_995.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S281_R2_001_995.fastq.gz	Mel105
cy105_CD45pos_S283	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S283_R1_001_996.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S283_R2_001_996.fastq.gz	Mel105
cy105_CD45pos_S285	B_cell	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S285_R1_001_997.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S285_R2_001_997.fastq.gz	Mel105
cy105_CD45pos_S286	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S286_R1_001_998.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_CD45pos_S286_R2_001_998.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S100	Endo_	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S100_R1_001_1434.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S100_R2_001_1434.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S101	Mal	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S101_R1_001_1435.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S101_R2_001_1435.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S102	Endo_	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S102_R1_001_1436.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S102_R2_001_1436.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S103	CAF	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S103_R1_001_1437.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S103_R2_001_1437.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S104	Endo_	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S104_R1_001_1438.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S104_R2_001_1438.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S107	Endo_	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S107_R1_001_1439.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S107_R2_001_1439.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S109	Mal	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S109_R1_001_1440.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S109_R2_001_1440.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S111	Endo_	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S111_R1_001_1441.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S111_R2_001_1441.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S116	Endo_	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S116_R1_001_1442.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S116_R2_001_1442.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S121	Endo_	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S121_R1_001_1443.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S121_R2_001_1443.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S123	Endo_	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S123_R1_001_1444.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S123_R2_001_1444.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S128	Endo_	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S128_R1_001_1445.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S128_R2_001_1445.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S132	Endo_	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S132_R1_001_1446.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S132_R2_001_1446.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S134	Mal	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S134_R1_001_1447.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S134_R2_001_1447.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S137	Endo_	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S137_R1_001_1448.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S137_R2_001_1448.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S139	Endo_	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S139_R1_001_1449.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S139_R2_001_1449.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S141	Endo_	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S141_R1_001_1450.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S141_R2_001_1450.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S142	Endo_	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S142_R1_001_1451.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S142_R2_001_1451.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S143	Endo_	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S143_R1_001_1452.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S143_R2_001_1452.fastq.gz	Mel105
cy105_Zombineg_CD45neg_CD90neg_S144	Endo_	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S144_R1_001_1453.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy105_Zombineg_CD45neg_CD90neg_S144_R2_001_1453.fastq.gz	Mel105
